Term,Plan,Employer,State
20138,COMPSCI-BS,BrandMuscle,OH
20138,COMPSCI-BS,BAE Systems,NH
20138,NETSYS-MS,Ecalix Inc.,CA
20138,NETSYS-MS,Microsoft Corporation,WA
20138,INFOST-MS,Jahnel Group,NY
20138,INFOSEC-BS,Syracuse University,NY
20138,ANSA-BS,Consumer Reports,NY
20138,COMPSCI-MS,Apple,CA
20138,INFOTEC-BS,Paychex Inc,NY
20138,INFOSEC-BS,Interactive Intelligence Inc,IN
20138,COMPSCI-BS,Industrial Indexing Systems,NY
20138,SOFTENG-BS,General Dynamics Mission Systems,MA
20138,SOFTENG-BS,Microsoft Corporation,WA
20138,INFOSEC-BS,Manning & Napier Advisors Inc,NY
20138,GAMEDES-BS,Perfect Parallel,NY
20138,INFOTEC-BS,Board of Governors of the Federal Reserve System,DC
20138,SOFTENG-BS,Pasona NA Inc.,CA
20138,SOFTENG-BS,Intuit,CA
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,GAMEDES-BS,Instrumental Software Technologies Inc,NY
20138,COMPSCI-MS,RIT - Computer Science,NY
20138,SOFTENG-BS,Amazon,WA
20138,COMPSCI-BS,Hyland Software,OH
20138,NWMEDID-BS,RIT - Saunders Startup,NY
20138,SOFTENG-BS,IBM Corp,TX
20138,COMPSCI-MS,Amazon,CA
20138,SOFTENG-BS,Intuit,CA
20138,COMPSCI-BS,iD Tech Camps (Internal Drive),CA
20138,INFOST-MS,Kodak Alaris,NY
20138,INFOSEC-BS,Paychex Inc,NY
20138,COMPSCI-MS,High 5 Games,NY
20138,ANSA-BS,"CommVault Systems, Inc.",NJ
20138,INFOTEC-MS,Blackrock,NY
20138,INFOTEC-BS,Cincinnati Children's Hospital Medical Center,OH
20138,COMPSCI-BS,Thomson Reuters,NY
20138,COMPSCI-BS,Envisage Information Systems,NY
20138,GAMEDES-BS,RIT - Kids On Campus,NY
20138,GAMEDES-BS,Clever Method,NY
20138,ANSA-BS,RIT - Research Computing,NY
20138,ANSA-BS,BOCES Monroe #2,NY
20138,SOFTENG-BS,FUJIFILM NORTH AMERICA,NY
20138,INFOTEC-MS,Constellation Brands,NY
20138,GAMEDES-BS,Emagination Computer Camps,NH
20138,INFOSEC-BS,National Security Agency,MD
20138,GAMEDES-BS,Paychex Inc,NY
20138,INFOSEC-BS,Palantir Technologies,CA
20138,INFOTEC-BS,Interactive Intelligence Inc,IN
20138,GAMEDES-BS,Mobiquity Inc.,FL
20138,INFOSEC-BS,Eastman Kodak Co - Mt Read Blvd,NY
20138,COMPSCI-MS,Exa Corporation,MA
20138,COMPSCI-MS,Calero Software (formerly Veramark),NY
20138,NWMEDID-BS,Paperless Post,NY
20138,INFOSEC-BS,OhmComm Inc,PA
20138,COMPSCI-MS,Intel Corp,AZ
20138,INFOTEC-BS,University of Rochester Medical Center - Marketing Group,NY
20138,COMPSCI-MS,University of Rochester - Info Technology,NY
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,COMPSCI-MS,Intuit,CA
20138,SOFTENG-BS,General Dynamics Advanced Information Systems,VA
20138,COMPSCI-BS,Vnomics Corp,NY
20138,NWMEDID-BS,NewPath Learning,NY
20138,INFOTEC-BS,University of Rochester Medical Center - School of Nursing,NY
20138,ANSA-BS,RIT - ITS/Technical Support,NY
20138,SOFTENG-BS,Gold Bridge Partners Inc,ME
20138,SOFTENG-BS,EnerNOC Inc,MA
20138,INFOSEC-BS,Parsons,VA
20138,GAMEDES-BS,Epic,WI
20138,SOFTENG-BS,eBay Inc,CA
20138,COMPSCI-BS,Electronic Access Solutions-Lenel,NY
20138,ANSA-BS,SER GmbH,XX
20138,GAMEDES-BS,Southwest Airlines,TX
20138,COMPSCI-MS,Intuit,CA
20138,COMPSCI-BS,Thomson Reuters,NY
20138,SOFTENG-BS,Microsoft Corporation,WA
20138,GAMEDES-BS,JPMorgan Chase,NY
20138,COMPSCI-BS,Xelex Technologies Inc.,NY
20138,INFOSEC-BS,Paychex Inc,NY
20138,NETSYS-MS,"EMC, RSA Security Inc",MA
20138,COMPSCI-BS,Apple,CA
20138,NETSYS-MS,IBM Corp,AZ
20138,NWMEDID-BS,White Ops,NY
20138,COMPSCI-BS,Textron Systems,MD
20138,GAMEDES-BS,SapientNitro,MA
20138,COMPSCI-BS,Global Printing  (Global Thinking),VA
20138,GAMEDES-BS,High 5 Games,NY
20138,INFOSEC-BS,Paychex Inc,NY
20138,COMPSCI-BS,Microsoft Corporation,WA
20138,INFOSEC-BS,Brand Networks Inc,NY
20138,COMPSCI-MS,Intel Corp,AZ
20138,INFOTEC-BS,UNICEF,NY
20138,INFOSEC-BS,Mitre Corp,VA
20138,COMPSCI-BS,RIT - Computer Science,NY
20138,GAMEDES-BS,RIT - Computer Science,NY
20138,COMPSCI-MS,Astra Identity Inc,MA
20138,SOFTENG-MS,Intuit,CA
20138,SOFTENG-BS,Listrak,PA
20138,SOFTENG-BS,Harris Corporation,NY
20138,INFOSEC-BS,RIT - Saunders College of Business,NY
20138,COMPSCI-MS,Salesforce.com,CA
20138,SOFTENG-BS,HubSpot,MA
20138,GAMEDES-BS,Vuzix Corporation,NY
20138,COMPSCI-BS,Citigroup,NY
20138,COMPSCI-MS,"Modern Industrial Marketing, LLC",NY
20138,COMPSCI-MS,Cisco Systems Inc,CA
20138,COMPSCI-MS,Cisco Systems Inc,CA
20138,COMPSCI-MS,GE Digital Energy &#226;&#128;&#147; MDS,NY
20138,INFOSEC-BS,USAA (United Services Automobile Association),TX
20138,COMPSCI-MS,Intuit,CA
20138,NWMEDID-BS,Global Printing  (Global Thinking),VA
20138,COMPSCI-MS,SunGard Financial Systems LLC,MA
20138,GAMEDES-BS,Emagination Computer Camps,NH
20138,COMPSCI-BS,Xamarin,MA
20138,INFOTEC-BS,Excellus BlueCross BlueShield,NY
20138,NWMEDID-BS,RIT - Information & Technology Services,NY
20138,INFOTEC-BS,2e Systems,XX
20138,SOFTENG-BS,"UTC Climate, Controls & Security",NY
20138,SOFTENG-BS,EnerNOC Inc,MA
20138,COMPSCI-BS,Vnomics Corp,NY
20138,COMPSCI-BS,Response Computer Group Inc.,DE
20138,INFOSEC-BS,Parsons,VA
20138,GAMEDES-BS,Xamarin,MA
20138,COMPSCI-MS,"ESRI, Implementation Services",CA
20138,GAMEDES-BS,RIT - Software Engineering,NY
20138,COMPSCI-BS,Kodak Alaris,NY
20138,INFOSEC-BS,Sovran Self Storage,NY
20138,COMPSCI-BS,Freedom Consulting Group,MD
20138,COMPSCI-BS,Microsoft Corporation,WA
20138,COMPSCI-MS,IntelliGenesis,MD
20138,INFOTEC-BS,Agrez Consulting Inc,NY
20138,SOFTENG-BS,MOOG Inc,NY
20138,SOFTENG-BS,MillerCoors,WI
20138,GAMEDES-BS,EnerNOC Inc,MA
20138,ANSA-BS,USAA (United Services Automobile Association),TX
20138,COMPSCI-BS,Google,CA
20138,COMPSCI-MS,Syracuse University - Center for Digital Media Entrepreneurship,NY
20138,INFOTEC-MS,ALK Technologies,NJ
20138,INFOTEC-BS,City of Rochester - Information Technology,NY
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,COMPSCI-BS,EnerNOC Inc,MA
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,INFOSEC-BS,NASA Jet Propulsion Laboratory,CA
20138,COMPSCI-BS,"Hyland, creator of OnBase",OH
20138,COMPSCI-BS,Allied Associates International,VA
20138,GAMEDES-BS,EarthLink Business,NY
20138,INFOTEC-BS,RIT - Information & Technology Services,NY
20138,INFOSEC-BS,Synchronoss Technology Inc,PA
20138,INFOST-MS,Paychex Inc,NY
20138,NETSYS-MS,Greenlight Networks,NY
20138,INFOTEC-BS,Town of Pittsford,NY
20138,COMPSCI-MS,Vicor Corp,MA
20138,ANSA-BS,Watson Communications,PA
20138,INFOTEC-BS,Apollo Education Group,AZ
20138,COMPSCI-BS,S&P Capital IQ,NY
20138,INFOSEC-BS,Liberty Mutual,NH
20138,INFOTEC-BS,EDM Americas,PA
20138,GAMEDES-BS,The Center for Developmental Disabilities Inc.,NY
20138,INFOTEC-BS,Verizon Wireless,NY
20138,GAMEDES-BS,Digitell Inc,NY
20138,SOFTENG-BS,Microsoft Corporation,WA
20138,COMPSCI-BS,Dairy One,NY
20138,GAMEDES-BS,LBi Software,NY
20138,INFOSEC-BS,RIT - ITS/Technical Support,NY
20138,COMPSCI-BS,Bryx Inc,NY
20138,ANSA-BS,Cisco Systems Inc,CA
20138,COMPSCI-BS,Citigroup,NY
20138,GAMEDES-BS,RIT - Kids On Campus,NY
20138,GAMEDES-BS,RIT - MAGIC Spell Studios LLC,NY
20138,INFOTEC-BS,RIT - ITS/Technical Support,NY
20138,COMPSCI-BS,Like Plum Inc,GA
20138,INFOSEC-BS,RIT - ITS/Technical Support,NY
20138,GAMEDES-BS,Music Social LLC,NY
20138,INFOSEC-BS,LandtitleUSA,TX
20138,INFOTEC-BS,Wayne-Finger Lakes BOCES,NY
20138,INFOSEC-BS,Verizon,VA
20138,INFOSEC-BS,RIT - Computing & Information Services,NY
20138,COMPSCI-BS,Lexmark International Inc.,KY
20138,NWMEDID-BS,Base Commerce LLC,NY
20138,GAMEDES-BS,RIT - Computer Science,NY
20138,COMPSCI-BS,Calero Software (formerly Veramark),NY
20138,ANSA-BS,"athenahealth, Inc.",MA
20138,INFOSEC-BS,University of Rochester Medical Center - Information System Division,NY
20138,GAMEDES-BS,CleanLife Energy LLC,OH
20138,INFOTEC-BS,Computer SOS Inc.,NY
20138,GAMEDES-BS,Dreamworks Animation,CA
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,GAMEDES-BS,Thomson Reuters,NY
20138,GAMEDES-BS,Perfect Paralell,NY
20138,INFOSEC-BS,Symantec Corporation,CA
20138,INFOTEC-BS,Wayne-Finger Lakes BOCES,NY
20138,COMPSCI-MS,Priceline.com,CT
20138,ANSA-BS,Greenlight Networks,NY
20138,INFOSEC-BS,JPMorgan Chase,NY
20138,GAMEDES-BS,Epic,WI
20138,COMPSCI-MS,Oracle,PA
20138,COMPSCI-MS,Intuit,CA
20138,COMPSCI-BS,UTC Aerospace Systems,NE
20138,COMPSCI-BS,Ricoh Production Print Solutions,CO
20138,COMPSCI-BS,Lawrence Livermore National Laboratory,CA
20138,INFOSEC-BS,Liberty Mutual,NH
20138,COMPSCI-MS,NetApp,KS
20138,COMPSCI-BS,Amazon,WA
20138,SOFTENG-BS,Ricoh Production Print Solutions,CO
20138,COMPSCI-MS,The MathWorks,MA
20138,COMPSCI-MS,"CommVault Systems, Inc.",NJ
20138,ANSA-BS,RIT - ITS/Technical Support,NY
20138,INFOTEC-BS,RIT-NTID - Center On Access Technology,NY
20138,GAMEDES-BS,Hasbro,RI
20138,COMPSCI-BS,HBO (Home Box Office),NY
20138,GAMEDES-BS,Workinman,NY
20138,COMPSCI-MS,Vicor Corp,MA
20138,INFOTEC-BS,Datto Inc.,CT
20138,COMPSCI-BS,Citigroup,NY
20138,COMPSCI-BS,MIT Lincoln Laboratory,MA
20138,INFOSEC-BS,The Hershey Company,PA
20138,GAMEDES-BS,Pfizer Inc,NY
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,COMPSCI-BS,Salesforce.com,CA
20138,NWMEDID-BS,The Brewster Inn,NY
20138,INFOTEC-BS,LaserMax Inc,NY
20138,COMPSCI-BS,University of Connecticut,CT
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,INFOTEC-BS,Vanteon Corporation,NY
20138,COMPSCI-MS,EMC Corporation,MA
20138,NWMEDID-BS,Illumination Entertainment,CA
20138,COMPSCI-BS,Tourbuzz LLC,GA
20138,INFOSEC-BS,Wegmans Food Markets Inc,NY
20138,INFOTEC-BS,OneLeap,XX
20138,COMPSCI-BS,Amazon,WA
20138,INFOTEC-MS,"ESRI, Implementation Services",CA
20138,COMPSCI-MS,Intuit,CA
20138,COMPSCI-MS,JPMorgan Chase,FL
20138,SOFTENG-BS,Fieldale Farms,GA
20138,COMPSCI-MS,RIT - Career Services & Cooperative Education,NY
20138,INFOSEC-BS,FM Global,RI
20138,COMPSCI-BS,GEICO,MD
20138,GAMEDES-BS,Dreamkind,NJ
20138,GAMEDES-BS,Intuit,CA
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,INFOTEC-BS,Discover Financial Services,NY
20138,SOFTENG-BS,EnerNOC Inc,MA
20138,COMPSCI-MS,RIT - Center for Multidisciplinary Studies,NY
20138,COMPSCI-BS,Cervello,MA
20138,GAMEDES-BS,Shalom Street Museum - JCC of Detroit,MI
20138,INFOTEC-MS,Intuit,CA
20138,INFOSEC-BS,Palantir Technologies,CA
20138,SOFTENG-BS,Asher Group,NY
20138,COMPSCI-BS,Fidelity Investments,NH
20138,COMPSCI-MS,Adarza Biosystems Inc,NY
20138,INFOSEC-BS,Apple,CA
20138,COMPSCI-MS,Microsoft Corporation,WA
20138,COMPSCI-BS,Lakota Software Solutions Inc,WV
20138,COMPSCI-BS,EMC,XX
20138,GAMEDES-BS,Walt Disney Interactive,WA
20138,COMPSCI-BS,Google,CA
20138,ANSA-BS,RIT - Information & Technology Services,NY
20138,INFOTEC-BS,Datto Inc.,CT
20138,SOFTENG-BS,Priceline.com,NY
20138,NWMEDID-BS,Bose Corporation,MA
20138,SOFTENG-BS,ZenPayroll,CA
20138,INFOSEC-BS,IDI Billing Solutions,NY
20138,COMPSCI-BS,RIT - Facility Management,NY
20138,SOFTENG-BS,Interactive Intelligence Inc,IN
20138,GAMEDES-BS,RIT - Computer Science,NY
20138,COMPSCI-MS,Intuit,CA
20138,COMPSCI-BS,"Bio-Optronics, Inc.",NY
20138,COMPSCI-BS,BAE Systems,NH
20138,INFOSEC-BS,RIT - ITS/Technical Support,NY
20138,COMPSCI-BS,Codonics Inc.,OH
20138,SOFTENG-BS,EnerNOC Inc,MA
20138,INFOSEC-BS,PPL Corporation,PA
20138,NWMEDID-BS,GEICO,MD
20138,COMPSCI-BS,Rochester Software Associates,NY
20138,INFOTEC-MS,Intuit,CA
20138,COMPSCI-MS,Amazon,WA
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,SOFTENG-BS,Microsoft Corporation,WA
20138,COMPSCI-BS,RIT - Computing & Information Services,NY
20138,NETSYS-BS,PCC Structurals,CT
20138,GAMEDES-BS,Morphadox,NJ
20138,COMPSCI-BS,iD Tech Camps (Internal Drive),CA
20138,GAMEDES-BS,RP Solutions Inc,NY
20138,SOFTENG-BS,Charles River Analytics,MA
20138,INFOSEC-BS,Quanterion Solutions Inc,NY
20138,NWMEDID-BS,Marathon Data Systems,NJ
20138,INFOSEC-BS,Wyman Gordon,TX
20138,INFOSEC-BS,Intrepidus Group,NY
20138,NWMEDID-BS,Orthopreneur,NY
20138,GAMEDES-BS,Heroes of Exorath,XX
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,COMPSCI-BS,UTC Aerospace Systems,MA
20138,INFOSEC-BS,Crabel Capital Management,WI
20138,COMPSCI-MS,Paychex Inc,NY
20138,COMPSCI-BS,Interactive Intelligence Inc,IN
20138,COMPSCI-BS,ShoreTel Sky (formerly M5 Networks),NY
20138,GAMEDES-BS,Zynga,CA
20138,INFOSEC-BS,Draper Laboratory,MA
20138,ANSA-BS,RIT - ITS/Technical Support,NY
20138,COMPSCI-BS,Calero Software (formerly Veramark),NY
20138,INFOTEC-BS,BEE Co Ltd,XX
20138,COMPSCI-BS,CryptoLabs,NY
20138,COMPSCI-BS,GeekHive,NY
20138,INFOTEC-BS,EMS eSchedule,NY
20138,GAMEDES-BS,Epic,WI
20138,COMPSCI-BS,Demiurge Studios,MA
20138,COMPSCI-BS,Videk Inc.,NY
20138,COMPSCI-BS,RIT - Information & Technology Services,NY
20138,COMPSCI-BS,elogic Group LLC,NY
20138,ANSA-BS,RIT - ITS/Technical Support,NY
20138,SOFTENG-BS,IBM Corp,MA
20138,INFOTEC-BS,RIT - Golisano College of Computing,NY
20138,INFOSEC-BS,Mediacom Communications Corp,NY
20138,COMPSCI-MS,FM Global,RI
20138,SOFTENG-BS,Apple,CA
20138,COMPSCI-MS,Intuit,CA
20138,SOFTENG-BS,Amazon,WA
20138,SOFTENG-BS,Lexmark International Inc.,KY
20138,COMPSCI-BS,Central Intelligence Agency,DC
20138,COMPSCI-BS,Bose Corporation,MA
20138,INFOTEC-BS,Paychex Inc,NY
20138,GAMEDES-BS,Darkwind Media,NY
20138,INFOTEC-MS,InsidersReferral.com,TX
20138,GAMEDES-BS,Thomson Reuters,NY
20138,INFOSEC-BS,RIT - Software Engineering,NY
20138,SOFTENG-BS,IDI Billing Solutions,NY
20138,INFOTEC-BS,HealthNow - BlueCross BlueShield of Western NY,NY
20138,COMPSCI-MS,eBay Inc,CA
20138,SOFTENG-BS,Retrotech Inc,NY
20138,COMPSCI-MS,MIAC,NY
20138,GAMEDES-BS,Calero Software (formerly Veramark),NY
20138,COMPSCI-MS,Exa Corporation,MA
20138,INFOSEC-BS,Parsons,VA
20138,INFOSEC-BS,iCardiac Technologies Inc,NY
20138,COMPSCI-BS,RIT - School of Mathematical Sciences,NY
20138,SOFTENG-BS,IDI Billing Solutions,NY
20138,COMPSCI-MS,University of Rochester - HR - Strong Staffing,NY
20138,COMPSCI-BS,Capital One,TX
20138,SOFTENG-BS,Brand Integrity,NY
20138,COMPSCI-BS,EnerNOC Inc,MA
20138,COMPSCI-BS,Microsoft Corporation,WA
20138,COMPSCI-MS,Intuit,CA
20138,INFOST-MS,Parametric Technology Corporation (PTC),MA
20138,SOFTENG-BS,The Raymond Corporation,NY
20138,GAMEDES-BS,RIT - College of Liberal Arts,NY
20138,GAMEDES-BS,IntelliGenesis,MD
20138,SOFTENG-BS,Alpine Software,NY
20138,ANSA-BS,JPMorgan Chase,NJ
20138,NWMEDID-BS,Leo Burnett USA Inc/Arc Worldwide,IL
20138,SOFTENG-BS,Oracle,PA
20138,COMPSCI-BS,S&P Capital IQ,NY
20138,INFOTEC-BS,Big Stuff Specialized Hauling,DE
20138,NWMEDID-BS,SwipeToSpin,NY
20138,GAMEDES-BS,RIT - Imaging Science,NY
20138,SOFTENG-BS,GeekHive,NY
20138,COMPSCI-BS,Codonics Inc.,OH
20138,SOFTENG-BS,Health Media Network,CT
20138,INFOSEC-BS,CUBRC Inc.,NY
20138,INFOSEC-BS,"Innovative Systems,  Inc.",PA
20138,GAMEDES-BS,Second Avenue Learning,NY
20138,SOFTENG-BS,Microsoft Corporation,WA
20138,ANSA-BS,Muller Quaker Dairy LLC,NY
20138,GAMEDES-BS,BellEse Technologies,MD
20138,INFOSEC-BS,Wegmans Food Markets Inc,NY
20138,INFOSEC-BS,Ponte Technologies,MD
20138,INFOTEC-BS,GEICO,MD
20138,NETSYS-BS,Jet Century Beijing Technology Ltd.,XX
20138,INFOTEC-BS,RIT - Research Computing,NY
20138,NWMEDID-BS,Kilo WADS Studios,NY
20138,SOFTENG-BS,MediSked LLC,NY
20138,INFOTEC-BS,US Army National Guard - New Hampshire,NH
20138,GAMEDES-BS,Opsive,NC
20138,SOFTENG-BS,Adventive Inc,NY
20138,ANSA-BS,Hitachi Data Systems,MA
20138,NWMEDID-BS,MOOG Inc,NY
20138,COMPSCI-BS,Intuit,CA
20138,COMPSCI-BS,Aetna,CT
20138,GAMEDES-BS,GSN Games,CA
20138,GAMEDES-BS,Oracle,PA
20138,SOFTENG-BS,CloudCheckr,NY
20138,ANSA-BS,Cisco Systems Inc,CA
20138,COMPSCI-BS,"Crestron Electronics, Inc.",NJ
20138,GAMEDES-BS,Lockheed Martin,FL
20138,INFOTEC-BS,RIT - Computing & Information Services,NY
20138,COMPSCI-MS,Soleo Communications Inc,NY
20138,COMPSCI-MS,Intuit,CA
20138,COMPSEC-MS,Acquia Inc,MA
20138,COMPSCI-BS,RIT - Admissions,NY
20138,COMPSCI-BS,"Service Education, Inc.",NY
20138,INFOTEC-BS,RIT - Distributed Support Svcs,NY
20138,GAMEDES-BS,RIT - Research Computing,NY
20138,COMPSCI-BS,LinkedIn,CA
20138,COMPSCI-BS,Exablox,CA
20138,GAMEDES-BS,iD Tech Camps (Internal Drive),CA
20138,INFOTEC-BS,Prescient Solutions,IL
20141,COMPSCI-BS,IMSWorkX,NY
20141,COMPSCI-MS,Institute 4 Priority Thinking,NY
20141,SOFTENG-BS,Paychex Inc,NY
20141,INFOTEC-BS,Alcoa Inc,PA
20141,COMPSCI-BS,FUJIFILM NORTH AMERICA,NY
20141,INFOSEC-BS,RIT-NTID - Technical Support Services,NY
20141,COMPSCI-BS,RIT - Saunders Startup,NY
20141,INFOTEC-BS,Cypress Hills Local Development Corporation,NY
20141,GAMEDES-BS,Darkwind Media,NY
20141,COMPSCI-MS,Cavalier IT Inc,NJ
20141,INFOTEC-BS,Wyman Gordon,TX
20141,COMPSCI-BS,Twitter Inc,CA
20141,COMPSCI-MS,Asher Group,NY
20141,COMPSCI-MS,"EnergyCAP, Inc.",PA
20141,COMPSCI-BS,EnerNOC Inc,MA
20141,COMPSCI-BS,Thomson Reuters,NY
20141,COMPSCI-MS,Intuit,CA
20141,COMPSCI-BS,Town of Greece,NY
20141,COMPSCI-BS,Lockheed Martin,NJ
20141,SOFTENG-BS,Interactive Intelligence Inc,IN
20141,GAMEDES-BS,Ahold Inc,MA
20141,NWMEDID-BS,RIT - Saunders Startup,NY
20141,GAMEDES-BS,Mitre Corp,VA
20141,COMPSCI-BS,Rochester Software Associates,NY
20141,COMPSCI-BS,Bryx Inc,NY
20141,COMPSCI-MS,Thomson Reuters,NY
20141,COMPSCI-MS,Vicor Corp,MA
20141,GAMEDES-BS,Arkadium,NY
20141,NWMEDID-BS,Xamarin,MA
20141,SOFTENG-BS,Apple,CA
20141,SOFTENG-BS,Mitre Corp,MA
20141,NWMEDID-BS,Farmers Mutual Hail,IA
20141,SOFTENG-BS,Datto Inc.,CT
20141,COMPSCI-BS,CryptoLabs,NY
20141,COMPSCI-BS,CloudCheckr,NY
20141,COMPSCI-BS,Ginkgo Bioworks,MA
20141,COMPSCI-BS,Apple,CA
20141,COMPSCI-MS,RIT - Golisano College of Computing,NY
20141,INFOSEC-BS,General Dynamics Advanced Information Systems,VA
20141,INFOTEC-BS,Intuit,CA
20141,GAMEDES-BS,Transaver,NY
20141,SOFTENG-BS,FUJIFILM NORTH AMERICA,NY
20141,SOFTENG-MS,Intuit,CA
20141,COMPSCI-BS,Agrez Consulting Inc,NY
20141,GAMEDES-BS,Sesame Workshop,NY
20141,COMPSCI-BS,UTC Aerospace Systems,CT
20141,ANSA-BS,Systems Management Planning Inc,NY
20141,COMPSCI-BS,Carestream Health,NY
20141,SOFTENG-BS,Rochester Software Associates,NY
20141,COMPSCI-MS,Amazon,WA
20141,COMPSCI-MS,IBM Corp,MA
20141,COMPSCI-MS,Wayfair,MA
20141,GAMEDES-BS,Gameloft,NY
20141,SOFTENG-BS,Intuit,CA
20141,NETSYS-BS,Cisco Meraki,CA
20141,SOFTENG-BS,CloudCheckr,NY
20141,SOFTENG-BS,Thomson Reuters,NY
20141,GAMEDES-BS,High 5 Games,NY
20141,COMPSCI-BS,BlueTie Inc,NY
20141,GAMEDES-BS,Retrotech Inc,NY
20141,INFOSEC-BS,BOCES Monroe #2,NY
20141,COMPSCI-BS,MOOG Inc,NY
20141,GAMEDES-BS,CypherWorx - NP Training Works,NY
20141,GAMEDES-BS,BrokenMyth Studios LLC,NY
20141,SOFTENG-BS,Thomson Reuters,NY
20141,COMPSCI-BS,Kulicke & Soffa Inc,PA
20141,COMPSCI-BS,EnerNOC Inc,MA
20141,COMPSCI-BS,MOOG Inc,NY
20141,SOFTENG-BS,HubSpot,MA
20141,INFOSEC-BS,Cisco Systems Inc,CA
20141,SOFTENG-BS,Interactive Intelligence Inc,IN
20141,GAMEDES-BS,Solu Technology Partners,NY
20141,COMPSCI-BS,EagleDream Technologies,NY
20141,COMPSCI-BS,Interactive Intelligence Inc,IN
20141,SOFTENG-BS,"Loomis, Sayles & Company, L.P",MA
20141,COMPSCI-MS,IBM Corp,MA
20141,SOFTENG-MS,"Synechron, Inc.",NY
20141,COMPSCI-MS,Ethany Corporation,NY
20141,INFOSEC-BS,Wegmans Food Markets Inc,NY
20141,COMPSCI-BS,Parsons,VA
20141,SOFTENG-BS,Interactive Intelligence Inc,IN
20141,SOFTENG-BS,Paychex Inc,NY
20141,INFOTEC-BS,"Sensored Life, LLC",NY
20141,COMPSCI-MS,"Bausch & Lomb, Valeant",NY
20141,COMPSCI-BS,Citigroup,NY
20141,COMPSCI-BS,Intuit,CA
20141,SOFTENG-BS,EnerNOC Inc,MA
20141,NETSYS-MS,Cisco Meraki,CA
20141,COMPSCI-MS,Hitachi Data Systems,MA
20141,COMPSCI-BS,Videk Inc.,NY
20141,SOFTENG-BS,Savant Systems,MA
20141,INFOTEC-BS,REDCOM Laboratories Inc,NY
20141,SOFTENG-MS,Xelex Technologies Inc.,NY
20141,SOFTENG-BS,Paychex Inc,NY
20141,COMPSCI-BS,Poseidon Systems (formerly Impact Sensors),NY
20141,COMPSCI-BS,University of Rochester - Dept of Psychiatry,NY
20141,INFOSEC-BS,RIT - ITS Desktop Support,NY
20141,SOFTENG-BS,Microsoft Corporation,WA
20141,NETSYS-MS,CoVal Systems,PA
20141,COMPSCI-MS,CryptoLabs,NY
20141,ANSA-BS,"athenahealth, Inc.",MA
20141,INFOSEC-BS,Trillium Health (formerly AIDS Care Rochester),NY
20141,INFOTEC-BS,Global Printing  (Global Thinking),VA
20141,SOFTENG-BS,RIT - Information & Technology Services,NY
20141,SOFTENG-BS,Apple,CA
20141,COMPSCI-BS,CryptoLabs,NY
20141,GAMEDES-BS,2020Venture,CA
20141,COMPSCI-BS,KMC Systems,NH
20141,SOFTENG-BS,Blackline Systems,CA
20141,GAMEDES-BS,Datto Inc.,CT
20141,INFOSEC-BS,MassMutual,MA
20141,COMPSCI-BS,Paychex Inc,NY
20141,GAMEDES-BS,Workinman,NY
20141,COMPSCI-BS,Intuit,CA
20141,GAMEDES-BS,Darkwind Media,NY
20141,COMPSCI-BS,"Vistaprint, A Cimpress Company",MA
20141,NWMEDID-BS,NimbleUser,NY
20141,COMPSCI-BS,General Electric,OH
20141,COMPSCI-BS,EarthLink Business,NY
20141,NWMEDID-BS,Intuit,CA
20141,COMPSCI-BS,HubSpot,MA
20141,COMPSCI-BS,Adarza Biosystems Inc,NY
20141,INFOTEC-MS,Apple,CA
20141,GAMEDES-BS,Menfes Interactive,GA
20141,COMPSCI-MS,Tiburon Lockers,NJ
20141,SOFTENG-BS,Envisage Information Systems,NY
20141,COMPSCI-MS,Que Centre,NY
20141,NWMEDID-BS,InsightSTEM,NY
20141,COMPSCI-BS,"Vistaprint, A Cimpress Company",MA
20141,SOFTENG-BS,Constant Contact,MA
20141,SOFTENG-MS,Pitney Bowes Software,CO
20141,GAMEDES-BS,Datto Inc.,CT
20141,INFOTEC-BS,Paychex Inc,NY
20141,INFOSEC-BS,BOCES Monroe #2,NY
20141,COMPSCI-BS,Interactive Intelligence Inc,IN
20141,GAMEDES-BS,Cadence Design Systems,MA
20141,GAMEDES-MS,Center for Open Science,VA
20141,INFOTEC-BS,Adventive Inc,NY
20141,SOFTENG-BS,C Speed LLC,NY
20141,INFOSEC-BS,Cisco Systems Inc,NC
20141,COMPSCI-BS,IDI Billing Solutions,NY
20141,COMPSCI-BS,Constant Contact,MA
20141,COMPSCI-BS,Harris Corporation,NY
20141,INFOSEC-BS,Cisco Meraki,CA
20141,INFOSEC-BS,RIT - ITS/Technical Support,NY
20141,COMPSCI-BS,Apple,CA
20141,COMPSCI-MS,Calero Software (formerly Veramark),NY
20141,COMPSCI-MS,Intel Corp,OR
